No,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1,ITC,EQ,09-Aug-18,300.95,301.75,304.6,300.05,302.65,302.5,302.52,9221385,2789688719,77082,6345902,68.82
2,ITC,EQ,10-Aug-18,302.5,302,306.9,301.15,303.6,304.8,304.58,14777932,4501013700,108018,9616879,65.08
3,ITC,EQ,13-Aug-18,304.8,304,307.8,303.15,305.85,305.95,305.91,9957591,3046149287,73992,5605325,56.29
4,ITC,EQ,14-Aug-18,305.95,307,310.2,306.85,307.65,307.9,308.55,12315926,3800132941,120377,6834468,55.49
5,ITC,EQ,16-Aug-18,307.9,307.9,308.5,305.1,307.45,307.45,306.97,18674289,5732496214,79333,15733106,84.25
6,ITC,EQ,17-Aug-18,307.45,307.8,315.3,307.8,313.7,313.75,313.17,25413745,7958925725,188911,15949025,62.76
7,ITC,EQ,20-Aug-18,313.75,314.2,315,311.3,313.35,313.3,313.42,19218118,6023336204,159969,14616159,76.05
8,ITC,BL,21-Aug-18,275.85,313.3,313.3,313.3,313.3,313.3,313.3,7217711,2261308856,1,7217711,100
9,ITC,EQ,21-Aug-18,313.3,314.5,317,312,312.8,312.9,313.84,13618791,4274087159,119997,9486419,69.66
10,ITC,EQ,23-Aug-18,312.9,314,316.4,307.35,311.85,312,312.05,11309613,3529134270,88596,7070528,62.52
11,ITC,EQ,24-Aug-18,312,311,312,307,310.7,310.4,309.65,5445848,1686293626,46328,2944917,54.08
12,ITC,EQ,27-Aug-18,310.4,311.2,314.85,310.5,313.55,313.4,313.57,5278766,1655286147,49160,2790713,52.87
13,ITC,EQ,28-Aug-18,313.4,314,315.8,311,312,311.65,312.78,6609740,2067419428,51177,4027729,60.94
14,ITC,EQ,29-Aug-18,311.65,311.7,315.45,310,312.85,312.8,312.1,10349504,3230124249,60903,7495744,72.43
15,ITC,EQ,30-Aug-18,312.8,313.5,320.6,313.5,318.95,319.85,318.38,24973007,7951028429,159658,16360655,65.51
16,ITC,EQ,31-Aug-18,319.85,322,322.6,317.2,319.6,319.85,320.54,18084699,5796783130,119433,11884175,65.71
17,ITC,EQ,03-Sep-18,319.85,322.95,322.95,311.05,311.5,313.2,318.71,9112998,2904372851,85876,5645798,61.95
18,ITC,EQ,04-Sep-18,313.2,312,312.2,307,310.3,309.6,308.6,11184441,3451555524,107727,7257266,64.89
19,ITC,EQ,05-Sep-18,309.6,310.4,314.45,309.25,310,310.25,311.33,10139205,3156622499,91732,5132830,50.62
20,ITC,EQ,06-Sep-18,310.25,311.4,311.75,308.05,310,310.8,310.2,7609714,2360540353,72864,4767106,62.65
21,ITC,EQ,07-Sep-18,310.8,311.6,313.2,308.1,310.65,310.45,311.02,7188478,2235737172,108508,4334253,60.29
22,ITC,EQ,10-Sep-18,310.45,310.2,310.75,305.55,306.1,306.55,306.96,9635849,2957817198,91265,5707533,59.23
23,ITC,EQ,11-Sep-18,306.55,306.65,306.75,295.55,296.2,297.2,298.06,26006624,7751563041,178943,13786209,53.01
24,ITC,EQ,12-Sep-18,297.2,297.75,307.6,295.4,306.1,306.8,303.42,19423600,5893496998,138154,9412549,48.46
25,ITC,EQ,14-Sep-18,306.8,307,308.65,305.05,306.95,307.15,306.62,12823479,3931940129,135884,7881282,61.46
26,ITC,EQ,17-Sep-18,307.15,305,306.1,301.5,302.5,302,303.27,5825628,1766733344,98875,3149772,54.07
27,ITC,EQ,18-Sep-18,302,302.2,304.9,299.3,304.5,303.25,302.47,8199623,2480102395,70655,4400792,53.67
28,ITC,EQ,19-Sep-18,303.25,304.5,305.65,298,300,299.65,302.15,6150336,1858304845,74564,2970120,48.29
29,ITC,EQ,21-Sep-18,299.65,300.4,306.6,300.4,304.1,303.95,303.82,16337218,4963613173,103478,10285775,62.96
30,ITC,EQ,24-Sep-18,303.95,305,306.35,292.5,298.8,297.95,299.62,14452668,4330297146,138196,9062644,62.71
31,ITC,EQ,25-Sep-18,297.95,296.9,302.35,292.35,301.15,301.15,297.9,13273933,3954284882,170623,7471547,56.29
32,ITC,EQ,26-Sep-18,301.15,303,303,289.75,293.1,293.15,293.94,19891787,5847014818,198806,13559149,68.16
33,ITC,EQ,27-Sep-18,293.15,293.5,295.1,289.5,294.15,293.3,292.28,12084852,3532133760,111921,7587958,62.79
34,ITC,EQ,28-Sep-18,293.3,295,300,291.8,298.85,297.75,296.25,24606864,7289683480,174778,16612435,67.51
35,ITC,EQ,01-Oct-18,297.75,300.85,302.95,293.4,297,297.1,296.68,9025533,2677655105,95424,4657058,51.6
36,ITC,EQ,03-Oct-18,297.1,297,300,294.65,295.25,295.2,297.16,7570160,2249518628,80374,4455682,58.86
