no,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1,ITC,EQ,10-Dec-18,274.05,272,272.3,269.15,270.5,270.45,270.45,6683094,1807433520,85199,4327661,64.76
2,ITC,EQ,11-Dec-18,270.45,268.4,276.05,268.2,274.9,274.7,272.14,10238800,2786423556,135053,6011130,58.71
3,ITC,EQ,12-Dec-18,274.7,275.7,277.7,272.6,277.25,276.05,274.97,10084682,2773012741,147812,5798429,57.5
4,ITC,EQ,13-Dec-18,276.05,279,279.4,273.5,275.2,275.3,276.73,15821425,4378309310,115314,11648030,73.62
5,ITC,EQ,14-Dec-18,275.3,274.35,277.25,273.9,275.85,275.75,275.73,8594764,2369848394,113401,5926873,68.96
6,ITC,EQ,17-Dec-18,275.75,277,281.4,275.9,279.4,279.85,279.14,12232198,3414498360,114946,8014630,65.52
7,ITC,EQ,18-Dec-18,279.85,279.05,280.6,277,278.5,278.15,278.46,8832786,2459586366,117492,5750189,65.1
8,ITC,EQ,19-Dec-18,278.15,279,284,278.5,283.15,283.45,282.31,13133469,3707720922,139093,8623283,65.66
9,ITC,EQ,20-Dec-18,283.45,281,284.4,281,283.1,282.65,282.65,4964496,1403193291,69227,2376145,47.86
10,ITC,EQ,21-Dec-18,282.65,283,284,276.05,276.6,276.75,278.72,6816618,1899911995,95655,3706240,54.37
11,ITC,EQ,24-Dec-18,276.75,278.85,280.7,275.25,276.65,276,278.38,8540575,2377555905,94563,4490731,52.58
12,ITC,EQ,26-Dec-18,276,276.35,278.8,274.8,276.95,276.65,277.08,8494118,2353515544,85780,4404334,51.85
13,ITC,EQ,27-Dec-18,276.65,279,281.65,277.3,279.2,280.75,279.93,11441104,3202757606,119683,5710573,49.91
14,ITC,EQ,28-Dec-18,280.75,279.15,284,279.15,282,282.25,282.2,13194286,3723488208,125257,7814877,59.23
15,ITC,EQ,31-Dec-18,282.25,282.8,283.85,281.1,281.6,281.65,282.39,5452405,1539717566,48951,3032204,55.61
16,ITC,EQ,01-Jan-19,281.65,282.2,283.55,279.8,283,282.7,281.41,2490548,700866321.7,27385,867443,34.83
17,ITC,EQ,02-Jan-19,282.7,282.25,283.25,277.55,280.6,280.6,280.46,9934187,2786162488,78027,6659644,67.04
18,ITC,EQ,03-Jan-19,280.6,280.6,282.45,277.75,278.9,278.85,279.76,6114946,1710715679,69851,3429624,56.09
19,ITC,EQ,04-Jan-19,278.85,279.15,282.95,279.15,280.8,280.95,281.12,7805148,2194185003,75534,4075809,52.22
20,ITC,EQ,07-Jan-19,280.95,284.3,285.25,281,281.55,281.65,282.6,9757529,2757503045,91302,5303732,54.36
21,ITC,EQ,08-Jan-19,281.65,282,285.5,281.35,283.9,284.25,283.69,7480522,2122135155,61502,4872483,65.14
22,ITC,EQ,09-Jan-19,284.25,285.6,291.7,284.6,291.5,290.4,288.51,12182118,3514674092,97158,6554370,53.8
23,ITC,EQ,10-Jan-19,290.4,290.75,293.7,288.9,289.5,289.6,291.17,10288580,2995759265,87615,4838067,47.02
24,ITC,EQ,11-Jan-19,289.6,291.9,296,291.5,294.7,295.35,294.22,16773035,4934899719,133184,8899748,53.06
25,ITC,EQ,14-Jan-19,295.35,294.5,294.8,290,294.3,294.3,292.6,6400147,1872708313,67968,2959540,46.24
26,ITC,EQ,15-Jan-19,294.3,295.25,297.4,294,295.95,296.55,296.12,7213165,2135986668,71341,4226921,58.6
27,ITC,EQ,16-Jan-19,296.55,296,296.55,291.7,294.5,294.05,294.08,7784035,2289090307,86623,4157004,53.4
28,ITC,EQ,17-Jan-19,294.05,294.1,295.6,290.15,292.9,293.95,292.42,10601100,3099965722,74516,6900471,65.09
29,ITC,EQ,18-Jan-19,293.95,293.25,295.1,290.65,291.1,291.45,292,10994807,3210483094,64900,7360439,66.94
30,ITC,EQ,21-Jan-19,291.45,292.85,293.2,288.7,289.85,289.9,290.9,8203333,2386350244,46892,5219479,63.63
31,ITC,EQ,22-Jan-19,289.9,289.85,291,285.15,290.3,289.75,287.89,10329563,2973768883,91160,5953202,57.63
32,ITC,EQ,23-Jan-19,289.75,291.5,294.4,275,276,277.3,284.09,40188183,11416871915,222738,16584110,41.27
33,ITC,EQ,24-Jan-19,277.3,279.3,283.35,277.85,279.05,278.9,280.55,28026449,7862843142,228074,10907834,38.92
34,ITC,EQ,25-Jan-19,278.9,280,282.7,278.5,278.6,279.2,280.86,8897906,2499063224,113187,4963608,55.78
35,ITC,EQ,28-Jan-19,279.2,278.9,279.45,274.2,275.05,274.75,276.75,8992136,2488615337,101975,5141637,57.18
36,ITC,EQ,29-Jan-19,274.75,275.3,279,274.75,278.3,278.45,276.78,6998389,1937017437,107287,4273576,61.07
37,ITC,EQ,30-Jan-19,278.45,280.1,280.2,274.2,274.7,275.5,275.93,10449713,2883368087,95203,6803832,65.11
38,ITC,EQ,31-Jan-19,275.5,276.5,279.6,273.6,278.25,278.65,277.32,15346406,4255802357,119095,10473776,68.25
39,ITC,EQ,01-Feb-19,278.65,280.65,285.2,279.1,281.3,280.85,281.39,18353829,5164580734,117521,9349482,50.94
40,ITC,EQ,04-Feb-19,280.85,281.9,281.9,276.05,277.2,277.1,278.63,6056619,1687583049,56370,3021990,49.9
41,ITC,EQ,05-Feb-19,277.1,277.35,277.8,272.5,274.1,274.15,274.72,9827060,2699671911,76063,6408179,65.21
42,ITC,EQ,06-Feb-19,274.15,275,278.4,274.55,278,277.7,276.88,8097580,2242045785,78240,5260374,64.96
43,ITC,EQ,07-Feb-19,277.7,277.9,281,277,279.95,280.3,279.09,5947966,1660045576,60408,3323219,55.87
44,ITC,EQ,08-Feb-19,280.3,279.5,281.2,274.6,275.8,275.5,277.7,4405887,1223523267,52501,2320901,52.68
45,ITC,EQ,11-Feb-19,275.5,275.8,278.2,268.45,277.8,277.1,274.4,9952322,2730942369,85491,5223993,52.49
46,ITC,EQ,12-Feb-19,277.1,277.05,280.5,274.6,275.6,275.3,277.85,7341352,2039761970,80011,3134340,42.69
47,ITC,EQ,13-Feb-19,275.3,280.05,283.9,275.2,276.45,276.85,279.84,15344186,4293893417,108395,6939002,45.22
48,ITC,EQ,14-Feb-19,276.85,277,280.2,277,278,277.9,278.42,9993785,2782456536,89812,5910922,59.15
49,ITC,EQ,15-Feb-19,277.9,279,280.95,275.4,279.65,280.1,278.4,37552143,10454593966,157823,29592593,78.8
50,ITC,EQ,18-Feb-19,280.1,278.8,282.45,273.9,274.25,274.7,278.1,40666405,11309445911,225859,30175180,74.2
51,ITC,EQ,19-Feb-19,274.7,274,279.2,274,275.95,275.9,277.69,34451117,9566605611,224512,28158422,81.73
52,ITC,EQ,20-Feb-19,275.9,277.25,277.5,274.25,275.85,275.85,275.38,5977880,1646204111,78072,2552403,42.7
53,ITC,EQ,21-Feb-19,275.85,275.9,276.75,274.2,275.05,275.05,275.06,6995026,1924078885,79871,3887778,55.58
54,ITC,EQ,22-Feb-19,275.05,275.6,275.95,273.1,274.8,274.3,273.97,8763445,2400951758,97090,4633020,52.87
55,ITC,EQ,25-Feb-19,274.3,274.5,277.15,273,276.5,276.7,275.47,30047503,8277152526,150380,22359803,74.41
56,ITC,EQ,26-Feb-19,276.7,274.95,277,274.05,275.4,275.5,275.46,11779606,3244801215,95568,8210639,69.7
57,ITC,EQ,27-Feb-19,275.5,276,278.9,273.9,275.15,275.1,275.81,13128412,3620965795,150144,8522232,64.91
58,ITC,EQ,28-Feb-19,275.1,277.3,277.3,274.25,276.5,276.05,275.78,43208896,11916046786,140246,37509994,86.81
59,ITC,EQ,01-Mar-19,276.05,276.45,279,276.25,278.3,278.2,277.46,8830848,2450195551,73125,6126508,69.38
60,ITC,EQ,05-Mar-19,278.2,280,284,276.05,284,282.55,279.76,13580306,3799286136,195344,8498700,62.58
61,ITC,EQ,06-Mar-19,282.55,285,289.2,284.75,285.95,285.75,286.76,20045621,5748368447,168992,12250190,61.11
62,ITC,EQ,07-Mar-19,285.75,286.7,291,285.85,289.5,290.1,288.8,14287507,4126277237,276711,8969023,62.78
63,ITC,EQ,08-Mar-19,290.1,290.3,293,288.4,291.7,292,291.53,12681454,3696980599,159797,6955512,54.85
